Systemdate,Applewood.InfoHighDump.signal_level,Applewood.InfoHighDump.latency_max_ms,Applewood.InfoHighDump.latency_packet_loss_count,Applewood.InfoHighDump.lte_state,Applewood.InfoHighDump.rssi,Applewood.InfoHighDump.rsrq,Applewood.InfoHighDump.rsrp,Applewood.InfoHighDump.rx_channel,Applewood.InfoHighDump.tx_channel,Applewood.InfoHighDump.band
2026-01-30T01:38:18,31,63,0,4,-50,-14,-83,66961,131697,eutran-66
2026-01-30T01:38:33,30,63,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:38:48,31,63,0,4,-51,-10,-81,66961,131697,eutran-66
2026-01-30T01:39:03,31,63,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T01:39:18,31,63,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:39:30,31,63,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:39:48,31,63,0,4,-50,-13,-83,66961,131697,eutran-66
2026-01-30T01:40:03,31,63,0,4,-49,-14,-82,66961,131697,eutran-66
2026-01-30T01:40:18,31,63,0,4,-49,-15,-81,66961,131697,eutran-66
2026-01-30T01:40:33,31,63,0,4,-51,-13,-81,66961,131697,eutran-66
2026-01-30T01:40:48,31,63,0,4,-47,-15,-81,66961,131697,eutran-66
2026-01-30T01:41:03,31,63,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T01:41:18,31,63,0,4,-50,-13,-82,66961,131697,eutran-66
2026-01-30T01:41:33,30,63,0,4,-53,-13,-81,66961,131697,eutran-66
2026-01-30T01:41:48,30,63,0,4,-53,-13,-79,66961,131697,eutran-66
2026-01-30T01:42:03,30,63,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T01:42:18,30,63,0,4,-53,-13,-80,66961,131697,eutran-66
2026-01-30T01:42:33,31,63,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:42:48,31,63,0,4,-51,-11,-82,66961,131697,eutran-66
2026-01-30T01:43:03,31,63,0,4,-50,-11,-81,66961,131697,eutran-66
2026-01-30T01:43:18,31,63,0,4,-51,-11,-83,66961,131697,eutran-66
2026-01-30T01:43:33,31,63,0,4,-47,-15,-81,66961,131697,eutran-66
2026-01-30T01:43:48,31,63,0,4,-52,-10,-81,66961,131697,eutran-66
2026-01-30T01:44:03,31,63,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T01:44:18,29,63,0,4,-54,-9,-81,66961,131697,eutran-66
2026-01-30T01:44:33,31,63,0,4,-46,-13,-81,66961,131697,eutran-66
2026-01-30T01:44:48,31,63,0,4,-48,-13,-81,66961,131697,eutran-66
2026-01-30T01:45:03,31,63,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:45:18,31,63,0,4,-51,-10,-82,66961,131697,eutran-66
2026-01-30T01:45:34,30,63,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:45:45,30,63,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:46:02,30,63,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T01:46:18,31,63,0,4,-52,-12,-82,66961,131697,eutran-66
2026-01-30T01:46:33,29,63,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T01:46:48,31,63,0,4,-46,-12,-82,66961,131697,eutran-66
2026-01-30T01:47:03,31,63,0,4,-50,-13,-82,66961,131697,eutran-66
2026-01-30T01:47:18,31,63,0,4,-51,-11,-82,66961,131697,eutran-66
2026-01-30T01:47:33,30,52,0,4,-53,-9,-81,66961,131697,eutran-66
2026-01-30T01:47:48,31,52,0,4,-49,-12,-82,66961,131697,eutran-66
2026-01-30T01:48:04,30,52,0,4,-53,-10,-82,66961,131697,eutran-66
2026-01-30T01:48:19,30,52,0,4,-53,-13,-81,66961,131697,eutran-66
2026-01-30T01:48:34,31,52,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T01:48:49,31,52,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T01:49:04,31,52,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T01:49:19,31,52,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T01:49:34,29,52,0,4,-54,-10,-82,66961,131697,eutran-66
2026-01-30T01:49:49,31,52,0,4,-52,-12,-82,66961,131697,eutran-66
2026-01-30T01:50:04,31,52,0,4,-51,-12,-82,66961,131697,eutran-66
2026-01-30T01:50:19,30,52,0,4,-53,-12,-83,66961,131697,eutran-66
2026-01-30T01:50:34,30,52,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:50:49,31,52,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T01:51:04,31,52,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T01:51:19,31,52,0,4,-52,-11,-82,66961,131697,eutran-66
2026-01-30T01:51:34,31,52,0,4,-51,-14,-82,66961,131697,eutran-66
2026-01-30T01:51:49,31,52,0,4,-51,-11,-83,66961,131697,eutran-66
2026-01-30T01:52:00,31,52,0,4,-51,-11,-83,66961,131697,eutran-66
2026-01-30T01:52:15,31,52,0,4,-49,-14,-82,66961,131697,eutran-66
2026-01-30T01:52:34,30,52,0,4,-53,-12,-81,66961,131697,eutran-66
2026-01-30T01:52:49,31,52,0,4,-48,-12,-82,66961,131697,eutran-66
2026-01-30T01:53:04,31,52,0,4,-49,-13,-82,66961,131697,eutran-66
2026-01-30T01:53:19,29,52,0,4,-54,-13,-82,66961,131697,eutran-66
2026-01-30T01:53:34,30,52,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T01:53:49,29,52,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T01:54:04,31,52,0,4,-48,-13,-81,66961,131697,eutran-66
2026-01-30T01:54:19,29,52,0,4,-54,-13,-82,66961,131697,eutran-66
2026-01-30T01:54:34,31,52,0,4,-50,-14,-82,66961,131697,eutran-66
2026-01-30T01:54:49,31,52,0,4,-49,-15,-81,66961,131697,eutran-66
2026-01-30T01:55:04,31,52,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T01:55:19,31,52,0,4,-51,-13,-82,66961,131697,eutran-66
2026-01-30T01:55:34,29,52,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T01:55:49,31,52,0,4,-47,-13,-81,66961,131697,eutran-66
2026-01-30T01:56:04,31,52,0,4,-51,-11,-82,66961,131697,eutran-66
2026-01-30T01:56:19,31,52,0,4,-47,-12,-78,66961,131697,eutran-66
2026-01-30T01:56:34,31,52,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T01:56:49,29,52,0,4,-54,-10,-80,66961,131697,eutran-66
2026-01-30T01:57:04,29,52,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T01:57:19,30,52,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:57:34,31,52,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T01:57:49,30,41,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:58:04,31,41,0,4,-50,-12,-81,66961,131697,eutran-66
2026-01-30T01:58:19,30,41,0,4,-53,-12,-81,66961,131697,eutran-66
2026-01-30T01:58:31,30,41,0,4,-53,-12,-81,66961,131697,eutran-66
2026-01-30T01:58:46,31,41,0,4,-51,-12,-81,66961,131697,eutran-66
2026-01-30T01:59:04,30,41,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:59:19,30,41,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T01:59:34,31,41,0,4,-49,-12,-81,66961,131697,eutran-66
2026-01-30T01:59:49,31,41,0,4,-48,-12,-81,66961,131697,eutran-66
2026-01-30T02:00:04,31,41,0,4,-48,-13,-81,66961,131697,eutran-66
2026-01-30T02:00:19,29,41,0,4,-54,-12,-81,66961,131697,eutran-66
2026-01-30T02:00:31,29,41,0,4,-54,-12,-81,66961,131697,eutran-66
2026-01-30T02:00:46,29,41,0,4,-54,-10,-81,66961,131697,eutran-66
2026-01-30T02:01:04,31,41,0,4,-52,-13,-82,66961,131697,eutran-66
2026-01-30T02:01:19,31,41,0,4,-47,-12,-81,66961,131697,eutran-66
2026-01-30T02:01:34,31,41,0,4,-47,-12,-78,66961,131697,eutran-66
2026-01-30T02:01:49,31,41,0,4,-51,-12,-82,66961,131697,eutran-66
2026-01-30T02:02:04,31,41,0,4,-49,-15,-81,66961,131697,eutran-66
2026-01-30T02:02:19,30,41,0,4,-53,-11,-81,66961,131697,eutran-66
2026-01-30T02:02:34,31,41,0,4,-48,-12,-80,66961,131697,eutran-66
2026-01-30T02:02:50,30,125,0,4,-53,-13,-81,66961,131697,eutran-66
2026-01-30T02:03:05,31,125,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T02:03:20,31,125,0,4,-49,-13,-81,66961,131697,eutran-66
2026-01-30T02:03:35,31,125,0,4,-52,-11,-81,66961,131697,eutran-66
2026-01-30T02:03:50,31,125,0,4,-50,-12,-82,66961,131697,eutran-66
2026-01-30T02:04:05,30,125,0,4,-53,-10,-81,66961,131697,eutran-66
2026-01-30T02:04:20,29,125,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T02:04:35,31,125,0,4,-48,-14,-82,66961,131697,eutran-66
2026-01-30T02:04:46,31,125,0,4,-48,-14,-82,66961,131697,eutran-66
2026-01-30T02:05:05,31,125,0,4,-52,-10,-81,66961,131697,eutran-66
2026-01-30T02:05:20,31,125,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T02:05:35,31,125,0,4,-52,-12,-81,66961,131697,eutran-66
2026-01-30T02:05:50,29,125,0,4,-54,-11,-81,66961,131697,eutran-66
2026-01-30T02:06:05,31,125,0,4,-51,-11,-81,66961,131697,eutran-66
2026-01-30T02:06:20,31,125,0,4,-50,-13,-81,66961,131697,eutran-66
2026-01-30T02:06:35,31,125,0,4,-50,-12,-81,66961,131697,eutran-66
